ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|448ebcdb0496f70ca04c855c27721073|2019-01-20|00:44:00|1547963040|grocery_pos|393.62|1|fraud_Cartwright-Harris|43.349434|-123.783303
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|4337304f1e2cfe367b2b9c95f4b869f2|2019-01-20|04:12:01|1547975521|shopping_net|6.68|1|fraud_Fisher-Schowalter|42.347910|-123.566899
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|6de76fec0881220aa5943c1e0a090046|2019-01-20|01:03:33|1547964213|misc_pos|801.70|1|fraud_Boehm, Block and Jakubowski|43.424755|-123.664439
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|290d1c8e089e4a59263609a76807ec23|2019-01-20|00:40:31|1547962831|food_dining|754.45|1|fraud_Connelly PLC|43.245989|-123.958140
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|6da622f8a3e5451e778da927e3d06cce|2019-01-20|07:17:41|1547986661|entertainment|450.41|1|fraud_Cummerata-Hilpert|42.449984|-123.967443
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|382e357717e13d028d0dae99a59e1aeb|2019-01-20|01:19:57|1547965197|shopping_pos|136.90|1|fraud_Friesen Inc|42.780647|-124.000659
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|f5fc23a36f92d4894e48e595e8e7cdec|2019-01-20|22:43:14|1548042194|food_dining|126.92|1|fraud_Bechtelar-Rippin|44.152502|-124.587852
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|1704a2f68d47994af0721d5e1ec863cf|2019-01-21|22:15:20|1548126920|personal_care|267.54|1|fraud_Nienow, Barrows and Romaguera|43.636331|-124.802962
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|5561c52bcf5a05bc2532fee3f1a71269|2019-01-21|23:34:00|1548131640|home|241.27|1|fraud_Champlin and Sons|43.669077|-123.322319
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|4805275df92993bfc502a013d49a381c|2019-01-21|20:03:15|1548118995|home|21.94|1|fraud_O'Reilly, Mohr and Purdy|43.248718|-124.177597
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json|cffa22c9fe3b2f3a0b9bbd8abd59916a|2019-01-21|23:53:59|1548132839|personal_care|19.91|1|fraud_Marvin-Lind|43.549081|-123.244612
