ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|958742f76ad024f29d7ad06ef50be0ba|2020-10-16|06:47:18|1602845238|grocery_pos|312.01|1|fraud_Koepp-Witting|40.405061|-73.670873
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|62be94841294c0c9008439f2dd94ae0a|2020-10-16|11:23:02|1602861782|grocery_pos|268.91|1|fraud_Rau and Sons|39.934902|-73.359736
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|f11f323f5d5309122d56cdcd48f0475f|2020-10-17|23:46:48|1602992808|shopping_pos|1091.26|1|fraud_Baumbach, Strosin and Nicolas|40.429099|-73.857568
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|9f818446f0ac0d45157dbd173ec43851|2020-10-17|14:45:48|1602960348|shopping_net|906.66|1|fraud_Reichert, Shanahan and Hayes|40.928671|-74.536649
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|d4c77d72345e9803f15a15b673a80b01|2020-10-17|23:17:21|1602991041|shopping_pos|910.73|1|fraud_Lynch Ltd|41.045109|-73.363187
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|ba723fffdea0b542dd2a4e00864a3422|2020-10-17|23:38:12|1602992292|kids_pets|784.47|1|fraud_Ruecker-Mayert|40.484750|-74.240815
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|574ca4d394feda1470fd377ee1a37256|2020-10-17|22:24:14|1602987854|shopping_pos|851.10|1|fraud_Baumbach, Strosin and Nicolas|41.614237|-74.166732
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|19dce0123d8aa1ca81a9e11dca90ba0d|2020-10-17|23:48:02|1602992882|shopping_net|749.97|1|fraud_Greenholt, O'Hara and Balistreri|40.545986|-74.277240
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|e113e102479745d1fc19361ba7e07a18|2020-10-17|23:40:02|1602992402|shopping_pos|17.34|1|fraud_Torphy-Goyette|40.063705|-73.745997
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|c07e16bfe624b642d08cf26c51c9be30|2019-04-04|06:25:43|1554373543|gas_transport|67.60|0|fraud_Zieme, Bode and Dooley|40.847097|-74.786790
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|79c5067ddebf899ec99cb8d27c248559|2019-05-01|02:05:35|1556690735|grocery_net|74.27|0|fraud_Tromp, Kerluke and Glover|40.853626|-74.833477
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|b7f6d7f916a352a39e7bf849064af281|2019-03-11|05:52:34|1552297954|gas_transport|48.75|0|fraud_Raynor, Reinger and Hagenes|40.059583|-73.462538
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|167902de26acb1b01aed246ef586df2b|2019-03-17|09:25:40|1552829140|gas_transport|66.81|0|fraud_Emard Inc|39.902742|-73.305936
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|f4529e10e00cd5ef8abbacac93436410|2019-08-14|00:14:22|1565756062|misc_net|100.39|0|fraud_Kerluke PLC|41.416641|-74.074044
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|180cc071aafd6016747ad01c0df8ecd6|2019-06-16|04:16:48|1560673008|grocery_pos|51.74|0|fraud_Kovacek, Dibbert and Ondricka|41.709293|-73.949128
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|f3221f5443cc4adfa0a812689bab88ba|2019-01-03|00:53:46|1546494826|gas_transport|51.16|0|fraud_Eichmann, Bogan and Rodriguez|41.282343|-74.526073
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|78fb7ae82a5f7352d8be21847b71400a|2019-04-27|00:56:33|1556340993|grocery_net|58.76|0|fraud_Paucek-Wiza|41.255544|-73.712368
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json|b72d0ba3253003388ba994544ef5209a|2019-03-13|09:40:54|1552484454|gas_transport|58.61|0|fraud_Christiansen, Goyette and Schamberger|41.118009|-73.256744
