ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|015a557b32591a3ac96def122e4672ec|2020-05-29|00:54:37|1590728077|gas_transport|22.49|1|fraud_Rodriguez Group|40.014262|-78.015871
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|dbba7e7e338b0b759cc576f673787174|2020-05-29|00:16:40|1590725800|gas_transport|22.20|1|fraud_Zieme, Bode and Dooley|40.135241|-78.069008
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|7f863cb8f79523c73119d8ed0df74815|2020-05-29|02:00:49|1590732049|grocery_pos|322.43|1|fraud_Casper, Hand and Zulauf|40.098623|-77.311635
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|7cd57df03fdde0fc752d48d5379f4bb8|2020-05-30|23:10:25|1590894625|health_fitness|892.00|1|fraud_Roob-Okuneva|40.179267|-78.740352
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|e9760664e4f8299e1e077ad9626a18d3|2020-05-30|23:11:20|1590894680|entertainment|990.43|1|fraud_Schuppe LLC|41.095891|-78.568749
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|94cbf95b8bc58904470c5464c899d130|2020-05-29|22:47:45|1590806865|misc_net|906.63|1|fraud_Kuhn LLC|39.761366|-78.602874
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|4617f1e0835ea9f8bab717490eb1f150|2020-05-30|23:42:11|1590896531|shopping_pos|848.67|1|fraud_Watsica, Haag and Considine|40.757122|-78.740982
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|c4b10f0d1ad0cca585e3019f9fe36f61|2020-05-30|23:58:04|1590897484|shopping_net|819.36|1|fraud_Reichert, Huels and Hoppe|40.426874|-78.306028
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|97d9cf38f10cde1a548235d774e72821|2020-05-30|22:56:09|1590893769|shopping_pos|865.25|1|fraud_Metz-Boehm|39.490539|-77.416680
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json|9e41ff3b6ee6e10d41be6e9b5e5612ec|2020-05-30|23:43:45|1590896625|shopping_pos|807.43|1|fraud_Lynch Ltd|39.582732|-78.596135
