ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|61690d5b69491b72021376d4aca8ce26|2019-01-14|01:38:45|1547447925|grocery_pos|10.01|1|fraud_Wolf Inc|47.781497|-121.189739
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|8a3b2e332dfe72f01815baea407b0e5b|2019-01-14|02:38:09|1547451489|grocery_pos|306.17|1|fraud_Murray-Smitham|47.255757|-122.398702
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|aacfa142a6843f12f189efb1564c3c55|2019-01-14|03:25:13|1547454313|gas_transport|319.02|1|fraud_Friesen-D'Amore|47.687355|-122.006932
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|6b915ce6519ed1c1d8c0496e0ce298d3|2019-01-14|17:16:08|1547504168|grocery_pos|271.36|1|fraud_Vandervort-Funk|48.304273|-121.749680
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|2c46988d332ab9720806c59ff3201749|2019-01-15|22:49:29|1547610569|shopping_net|834.59|1|fraud_Romaguera, Cruickshank and Greenholt|47.431291|-122.859264
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|ffe229e3db63f526a766aea91538b659|2019-01-15|23:10:45|1547611845|shopping_net|1071.33|1|fraud_Schmidt and Sons|47.864701|-122.885517
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|44139aca117bdf5a1f30b9bf1ff8adb8|2019-01-15|23:12:53|1547611973|shopping_net|1144.19|1|fraud_Medhurst PLC|48.203724|-122.386502
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|4badd3c9b7d0ca0bffb94bb3ce28d4fe|2019-01-15|23:26:20|1547612780|shopping_pos|983.56|1|fraud_Bernhard, Grant and Langworth|48.305452|-122.309177
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|178e7c7915420fea35b19375eb1ace1b|2019-01-15|22:23:38|1547609018|shopping_pos|1000.53|1|fraud_Denesik and Sons|47.041726|-122.156350
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|d265389fc8c0300b0b8988a9c2042802|2019-01-15|23:37:58|1547613478|shopping_net|965.10|1|fraud_Mosciski, Ziemann and Farrell|48.601260|-121.895334
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|40657700019b007944e59bd3cf59072a|2019-01-14|15:44:02|1547498642|misc_net|1004.61|1|fraud_Hamill-Daugherty|47.870497|-121.990265
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|1bb052ac0b8b3721272ffa5d3ec99454|2019-12-23|09:12:25|1577110345|entertainment|90.66|0|fraud_Parker, Nolan and Trantow|48.121414|-121.783953
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|73703994169fec9dc8727f80eb3bc5c2|2020-01-13|11:24:22|1578932662|entertainment|70.15|0|fraud_Fadel, Mertz and Rippin|47.391020|-121.456280
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|f44e38ac7d416d7afb2cefb20ed20c45|2019-12-21|09:31:29|1576938689|entertainment|97.80|0|fraud_Kling-Ernser|47.188921|-122.850579
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|f8d83f6e3d7f59c1e19000954d5f4606|2019-10-04|08:05:03|1570190703|shopping_net|75.92|0|fraud_Stamm-Witting|48.510005|-121.456532
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|c2156242eae1ed732c6605fe90694eea|2019-11-26|07:37:22|1574771842|shopping_pos|48.87|0|fraud_Mohr Inc|48.414677|-121.985081
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|88034810a39150d5af04b0ca29f7f351|2020-01-18|01:04:03|1579327443|entertainment|44.73|0|fraud_Schroeder, Hauck and Treutel|47.152030|-122.687749
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|ab53185eeeae2c103a439e5628b1fbea|2019-09-22|11:21:22|1569165682|shopping_net|69.71|0|fraud_Jast Ltd|48.476709|-122.825224
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json|588fceb429719c9bfa0d4d496182e090|2019-09-18|00:03:52|1568779432|shopping_net|50.30|0|fraud_Kassulke PLC|47.842585|-122.676081
