ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|North Las Vegas|NV|89031|36.2589|-115.1718|214518|Accounting technician|1969-10-03|888022315787|adults_50up_female_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Melrose|NY|12121|42.8412|-73.6077|1916|Professor Emeritus|1951-06-07|917558277935|adults_50up_female_rural.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Coos Bay|OR|97420|43.2151|-124.1984|27473|International aid/development worker|1985-05-30|718172762479|adults_2550_female_urban.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Sicklerville|NJ|08081|39.7354|-74.9864|50589|Seismic interpreter|1944-12-26|947268892251|adults_50up_male_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Irvington|NJ|07111|40.7261|-74.2313|53942|Medical laboratory scientific officer|1991-05-22|888335239225|adults_2550_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|James Creek|PA|16657|40.3567|-78.1887|1343|Community arts worker|1971-06-18|245877882397|adults_50up_female_rural.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Auburn|AL|36830|32.5475|-85.4682|55272|Plant breeder/geneticist|1985-03-06|465378164447|adults_2550_male_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Albuquerque|NM|87120|35.1421|-106.7041|641349|Quarry manager|1977-12-27|950105810049|adults_2550_male_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Redmond|WA|98052|47.6718|-122.1232|77226|Retail buyer|1966-08-23|940251608167|adults_50up_male_urban.json
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Charlotte|NC|28212|35.1908|-80.7448|790689|Acupuncturist|2000-01-26|684868121383|young_adults_female_urban.json
